D:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VC\v170\Microsoft.CppBuild.targets(500,5): warning MSB8004: Output Directory does not end with a trailing slash.  This build instance will add the slash as it is required to allow proper evaluation of the Output Directory.
D:\SW\IT266-002\quake2-full\game\g_misc.c(873,61): warning C4100: 'plane': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(966,93): warning C4100: 'point': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(966,78): warning C4100: 'damage': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(966,44): warning C4100: 'inflictor': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1021,65): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1021,49): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1157,66): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1157,50): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1217,101): warning C4100: 'point': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1217,72): warning C4100: 'attacker': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1217,52): warning C4100: 'inflictor': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1330,89): warning C4100: 'surf': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1330,70): warning C4100: 'plane': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1330,53): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1358,51): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1452,71): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1452,55): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1577,65): warning C4100: 'activator': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1577,49): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1700,11): warning C4996: 'localtime': This function or variable may be unsafe. Consider using localtime_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.
D:\SW\IT266-002\quake2-full\game\g_misc.c(1740,46): warning C4100: 'other': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1783,84): warning C4100: 'surf': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1783,65): warning C4100: 'plane': unreferenced formal parameter
D:\SW\IT266-002\quake2-full\game\g_misc.c(1882,6): warning C4101: 'item_index': unreferenced local variable
     Creating library .\..\release\gamex86.lib and object .\..\release\gamex86.exp
  game.vcxproj -> D:\SW\IT266-002\quake2-full\game\release\gamex86.dll
